"Welcome to %1","Bienvenue sur %1"
"home","accueil"
"logged in as %1","salut %1"
"logout","déconnexion"
"register","s'enregistrer"
"unauthorized","page innaccessible"
"successfully changed password","mot de passe modifié"
"passwords don't match","les mots de passe ne correspondent pas"
"old password is incorrect","ancien mot de passe incorrect"
"error updating the database","erreur de base de données"
"change password","changer de mot de passe"
"old password:","ancien mot de passe:"
"new password:","nouveau mot de passe:"
"retype new password:","récrire nouveau mot de passe:"
"save new password","enregistrer le nouveau mot de passe"
"successfully udpated user","utilisateur modifié"
"name:","nom:"
"update","enregistrer"
"change password","changer de mot de passe"
"reset password","réinitialiser le mot de passe"
"email:","adresse courriel:"
"send password reset email","envoyer le courriel de réinitialisation de mot de passe"
"if this email exists in the database, you will receive an email with a link to reset your password.","si cette adresse existe dans la base de données, un message contenant un lien pour réinitialiser le mot de passe y sera envoyé."
"successfully logged in","vous êtes connectés"
"email not validated","adresse courriel pas encore validée"
"invalid login information","nom ou mot de passe invalide"
"password:","mot de passe:"
"remember me:"."se souvenir de moi:"
"login","connexion"
"forgotten password","mot de passe oublié"
"successfully logged out:","déconnecté"
"successfully registered","votre compte a été créé"
"a confirmation email has been sent","un courriel de confirmation a été envoyé"
"email already registered","cette adresse est déjà enregistrée"
"database error","erreur dans la base de données"
"register account","créer un compte"
"password successfully reset","mot de passe réinitialisé"
"invalid code","code invalide"
"save","enregistrer"
"successfully validated email","adresse courriel validée"
"please login to upload","veuillez vous connecter pour envoyer une vidéo"
"retype password:","récrire mot de passe:"
"click here to resend the validation email","cliquez ici pour envoyer un nouveau courriel de validation"
"resend confirmation email",""renvoyer le courriel de confirmation"
"email validation","validation de votre courriel"
"click here to validate your email.","cliquez ici pour valider votre courriel"
"click here to reset your password.","cliquez ici pour réinitialiser votre mot de passe."
"edit account","modifier le compte"
"'if this email exists in the database, you will receive an email with a link to validate this email adress.","si cette adresse existe dans la base données, un message contenant un lien pour valider cette adresse courriel y sera envoyée."
"username needs to be %1 characters or more.","le nom d'utilisateur doit avoir au moins %1 caractères."
"password needs to be %1 characters or more.","le mot de passe doit avoir au moins %1 caractères."
"email address is invalid.","adresse courriel invalide"